"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 821890 "," 821891 "," 821894 "," 821895 "," 821896 "," 821897 "," 821898 "," 821899 "," 821900 "," 821901 "," 821902 "," 821903 "," 821904 "," 821905 "," 821906 "," 821907 ",
"1Q Sep 1988","5.94498241923869","6.47333925875374","7.24650675443366","4.79828266711515","10.0619885284091","5.18385829180934","5.02402382877379","2.976358100262","5.65710038921097","4.53032968815005","5.90275004062501","4.55916415664253","6.79569722034512","3.34850684014449","3.13781297463121","3.72316133943038",
"2Q Sep 1988","5.94529843277691","6.45872802751663","7.20098287336863","4.80374620435755","9.94390640103751","5.21295895685166","5.08037716926406","2.99669092497757","5.67237566810692","4.56416570507305","5.97330365667773","4.65307052608525","6.84895803485878","3.34927438779235","3.13781297463121","3.72544418947496",
"1Q Oct 1988","5.97352673065689","6.4978411893864","7.19933887682482","4.80826765292066","9.93297859646731","5.30782950003986","5.29311795361743","3.00619738696828","5.71275542208022","4.56686248421217","5.96287797769333","4.56921825074203","6.89074075989382","3.36403493509595","3.15499754212167","3.73519302106683",
"2Q Oct 1988","6.00744897083734","6.51650441400638","7.20064436293684","4.81705313419172","9.92258493030825","5.35017436606544","5.35616921157475","3.00799561428945","5.74925072908378","4.63377051463433","6.10368863521549","4.55191538907644","7.14230330240399","3.36436522298558","3.15499754212167","3.73617536753996",
"1Q Nov 1988","6.0572584031312","6.55022273234279","7.20727095558151","4.83001653183709","9.91857112949357","5.42070727305785","5.52817701117362","3.00830059897452","5.77223633858611","4.71782638484698","6.26981170074824","4.67306555362739","7.33863737483761","3.37464994272729","3.16927321256807","3.73839320429872",
"2Q Nov 1988","6.08405168871251","6.57422898755291","7.22089557838247","4.85117035852253","9.91879344945185","5.45846492952302","5.5916956609499","3.01045379150492","5.80055403796476","4.74986277213367","6.33628701863643","4.71816530564583","7.41959973690757","3.37567504957867","3.16971317898985","3.7405677120236",
"1Q Dic 1988","6.17614580469605","6.6666101168823","7.30127271763288","4.95615831626837","9.95062765105805","5.5646707008791","5.79701707261907","3.01075634168531","5.86575027001954","4.83778627630957","6.52059782721799","5.02567677021169","7.51460361576013","3.37677564639933","3.16971317898985","3.74384112118348",
"2Q Dic 1988","6.21848954665395","6.70013155188608","7.30789685955198","4.99062891638434","9.91346526409095","5.63474106377929","5.87301352519916","3.01075634168531","5.94264889378622","4.89832263409153","6.64695026293925","5.26037579361235","7.5627825289612","3.37803506934886","3.16971317898985","3.74758691305052",
"1Q Ene 1989","6.32110225097887","6.85072948674322","7.3876263657677","5.12001849464027","9.90613638592464","5.87963702353781","6.15092021491336","3.12927278699475","6.18957169132381","4.88920615265138","6.61243235285707","5.23914468663099","7.51919000336616","3.39203273282629","3.16971280761942","3.78921968109796",
"2Q Ene 1989","6.3769465057508","6.94168829008685","7.44178121886284","5.19513802965292","9.92083089465237","6.01915791560139","6.24196524279574","3.19866809359008","6.36832280368258","4.8640199544684","6.53654567967738","5.10885937846787","7.48268010753784","3.41286564449976","3.16971280761942","3.85118119382383",
"1Q Feb 1989","6.42562657818529","7.01748166647807","7.46065436911341","5.20292896201153","9.95428870114898","6.17214042350484","6.48272800038199","3.27443450290598","6.48411496181043","4.84991845216","6.50538116229364","4.96516733212708","7.53168134476063","3.41415830031321","3.16872471328964","3.85698954112059",
