"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 865541 "," 865542 "," 865548 "," 865549 "," 865550 "," 865551 "," 865552 "," 865553 "," 865554 "," 865555 "," 865556 "," 865557 "," 865558 "," 865559 "," 865560 "," 865561 ",
"May 2001","49.2099704636254","53.6865317946297","52.1829141083254","41.365126047357","62.3407825301863","54.6252332576825","59.6331282558558","37.034854643804","56.2439195841494","37.127908414276","37.5682710383621","36.8788491970612","37.9739992158925","36.7524385731775","33.408856414719","43.6810011763273",
"Jun 2001","49.3263637671915","53.8588510589044","52.3361387837728","41.4719760008087","62.5414574305847","54.8179940576529","59.8445165214378","37.1384240407615","56.4500198590459","37.1247755260407","37.4949406160527","36.7378576434752","37.9438089481607","36.8052107582735","33.4087590434055","43.8242925913224",
"Jul 2001","49.1982019640303","53.9419219820456","52.2941119439796","41.4807054771017","62.4405347181346","55.0524801091235","60.0897646810471","37.1762365425503","56.738266065252","36.5815895861481","37.1625759503392","36.2304522355821","37.7231747509744","36.0944962943676","32.2023973729866","43.9187554834286",
"Ago 2001","49.4896875471858","54.1217831794574","52.3870252267687","41.5090218568004","62.6062197807196","55.3355382461097","60.3136134489797","37.5822789063872","57.0353444666563","37.0780166326294","38.6434720474807","39.3306678856776","38.1718487446814","35.8065935955158","31.7040620282442","43.9731985909226",
"Sep 2001","49.9503811497724","54.5314054452267","52.5029157993888","41.5964236960407","62.7500541506483","56.0970970151889","60.6040553488619","41.5130763721022","57.2160224218866","37.6122177152878","39.365461080147","40.6246505580528","38.5290494093794","36.1908900645577","32.3207458581739","43.9818226753795",
"Oct 2001","50.1761353677535","54.6688532611504","52.6044263896541","41.7740366941011","62.7541434291574","56.2761425729858","60.8520752388695","41.5333334345981","57.3872416257266","38.0004267677353","39.8233956688706","41.4338022792336","38.7629827153941","36.5233129217918","32.8135829700466","44.0573426271529",
"Nov 2001","50.3651489088722","54.7995072446843","52.6980813051513","41.8755076125942","62.8331818685745","56.449804949523","61.0420529215744","41.5338876358718","57.6021796007915","38.294273544363","39.4934284933035","40.796944488489","38.6286840233625","37.3137482735859","34.0876402427722","44.0656292574092",
"Dic 2001","50.434898785093","54.9307596159811","52.7463639861187","41.91232303956","62.8926219026556","56.6802079463944","61.2393183884644","41.5338876358718","57.934060786015","38.2364229291389","39.4035518348056","40.2003985452691","38.8614497185049","37.2814407448227","33.8809419794927","44.3244645474047",
"Ene 2002","50.9004720097159","55.2047650335371","52.8537365193623","42.1694201922375","62.8134424912331","57.1531693610405","61.6266431886423","41.7320131662486","58.5686284388354","39.0567061902744","40.4827989317698","42.9163752561241","38.8977456198661","37.8949463478773","33.593220456342","46.4706758903217",
"Feb 2002","50.8677498490805","55.5953163513728","53.1386813630916","42.4483868159493","63.089812431234","57.6661847773663","62.1973855811848","41.8791387597618","59.150217934416","38.1778489424555","37.4255476375818","35.3309545793795","38.7259818631398","38.7514762588347","34.7402609367257","46.8711240622804",
"Mar 2002","51.1279484444964","55.8216580550316","53.2794105331082","42.693525522496","63.0968024419441","57.993314864211","62.5303894232087","41.9426368151859","59.5567609747585","38.4894149433189","37.4540363872417","35.625617523871","38.58498986705","39.2882676280387","35.4825659806307","47.0827820151662",
"Abr 2002","51.4072349725615","56.0207118684115","53.3911382581677","42.8309320191735","63.1713657071746","58.2957065413106","62.8655707488201","41.9502077360679","59.92525162571","38.9116788352763","38.0233789123951","37.3306767983073","38.4307934600234","39.5931211613477","35.8181607978303","47.3470920312281",
"May 2002","51.5114292313976","56.1243178142475","53.4241848524512","42.9193307375558","63.1358136943903","58.4837665226902","63.1716911570134","41.9617034492594","60.06942846425","39.0105586545595","38.3827641654807","38.722976915061","38.1322724124991","39.4844771199578","35.5134083251158","47.5632427649814",
"Jun 2002","51.7625861769592","56.1952911714661","53.3919039946999","42.8876995988308","63.1045374934587","58.6796758687068","63.4795126962404","42.0244805727919","60.2132140147895","39.6069131858833","39.4260035041906","41.4483520379235","38.1036852397767","39.7245494321233","35.8384249770656","47.6695844879297",
"Jul 2002","51.9111813533618","56.2708283783629","53.3465690935088","42.8703878559483","63.0277694666944","58.8819107416482","63.7482636292584","42.064057049872","60.4153957460783","39.9228849448036","40.3096069270325","43.5763417030855","38.2099851747985","39.663774053317","35.7104489236761","47.7399193660499",
"Ago 2002","52.1085603012643","56.4604126613967","53.4407646641606","42.9390502990165","63.1458263793855","59.1638083975297","64.0182512753475","42.6061280307039","60.60089819334","40.1397067216967","40.5669103394018","43.6178974981264","38.5996055491625","39.8553542586487","35.9622714525079","47.8138128670366",
"Sep 2002","52.4219835649941","56.8322164565138","53.4803289147656","43.0121505487709","63.152838955282","59.8583919515173","64.2844502158302","45.7042462422055","60.7170892689695","40.2947481850623","40.3037143573248","43.0199333182307","38.5431621207674","40.2700423364323","36.4997943583814","47.9886989189703",
"Oct 2002","52.6530360866857","56.9647475702841","53.6411943070869","43.2652175599892","63.2238224915913","59.962683045704","64.5286733440985","45.7056466056429","60.7346476865425","40.7856359980346","40.3361903643758","42.9122669437087","38.6618796585035","41.045365039745","37.6411009134773","48.046425319412",
"Nov 2002","53.0788772813736","57.0745568777273","53.7180737162689","43.3989012250315","63.245491734805","60.104168142178","64.7536669645615","45.7056466056429","60.8551991264853","42.0431860664628","41.3517629452021","45.74582503478","38.5555658296919","42.452582853644","39.7218428426175","48.132910147052",
"Dic 2002","53.3099298030651","57.1933337198778","53.7760013698725","43.4927192387341","63.2684668193814","60.2818417625306","64.9335312162145","45.7056466056429","61.0992646415323","42.5697860513206","42.8108471921644","49.1371241079724","38.8214464150484","42.3998715705631","39.586397696471","48.2432462746886",
"Ene 2003","53.5254406753155","57.4478139644957","53.9217173683208","43.7930162148048","63.2644109173116","60.6414134812025","65.2554400651051","45.8718148896729","61.5650990822224","42.6799649548489","42.108074840816","46.5735799331925","39.2662317422445","43.0148307847098","40.3178046599867","48.6323720785025",
"Feb 2003","53.6741224549695","57.7328882268372","54.1568708812872","44.0785087823338","63.4493988323711","60.9739927664258","65.6216105824396","46.166016346512","61.8783101551616","42.4661623638547","41.2768847106414","43.4392645561914","39.8553192646819","43.184519753392","40.4759359630182","48.8260351135523",
"Mar 2003","54.0129304127862","57.9674639718191","54.3613710233952","44.3289000084952","63.6082392872051","61.2369161614825","65.93007476653","46.2395997245195","62.1720311473023","43.0785377809015","42.4813552136229","45.920586335645","40.270771181036","43.4289206344005","40.8111071982433","48.8928118816546",
"Abr 2003","54.1051441994704","58.1638072572365","54.4539830928378","44.4623829905628","63.6608506815936","61.5336889682569","66.1500092696215","46.3108205176543","62.6240299172506","42.8941257401447","42.1077613976299","44.415369267598","40.5949443947765","43.3620757140678","40.6607874767327","48.990382221994",
"May 2003","53.9305596707487","58.3181026264175","54.5663840378239","44.5895418619266","63.7582221030978","61.7282199404721","66.3580762824223","46.3291781793159","62.873896646203","41.8504482286231","41.9049044454023","44.2401564723634","40.3755029308643","41.7967547509737","38.2521302355724","49.0801134449166",
"Jun 2003","53.9751123991466","58.3815868586032","54.5455882680876","44.6323474976152","63.6764027003506","61.8737182426839","66.5667848371859","46.3590782690998","63.0064340434887","41.8451875698944","41.8285543331514","44.1372408722987","40.315680278645","41.8356422617477","38.2953269045446","49.1107530147639",
"Jul 2003","54.0533387013335","58.4608106171407","54.4907779197934","44.6277809430223","63.5736697141767","62.0834668018481","66.7203304651478","46.4148850054654","63.3254265620914","41.9199303398624","42.0063961980673","45.1753144878793","39.9633279558846","41.8463262684752","38.2817541948355","49.1694175344951",
"Ago 2003","54.2154899105024","58.6701366950025","54.60415792973","44.6871230076284","63.7381873950976","62.3855648014577","66.9306391518034","47.4118667296821","63.4300535163548","41.9548316483781","41.8082597698688","44.454631385953","40.08745329331","42.0259245404651","38.5154373402063","49.2434093920325",
"Sep 2003","54.5382381638973","58.9513601061563","54.6897053837676","44.7536273084184","63.8414176757071","62.8566226984551","67.1323160932704","49.619053950693","63.4475710241258","42.3844881491983","42.5093552598725","45.7564437895025","40.4170488573071","42.2868167354728","38.8622480112606","49.3363716630234",
"Oct 2003","54.7382073867067","59.0778892966486","54.8228147399128","44.9550562272859","63.907823155701","62.9761782303286","67.335270403746","49.6160853192846","63.5390342497783","42.777760280822","42.9190542564781","46.2249952661755","40.7896101366977","42.6697012066395","39.4049284720784","49.4062388865657",
"Nov 2003","55.1925416053699","59.2331002044311","55.0173634349389","45.2360152387383","64.0178107176739","63.092307102488","67.4804763709454","49.6325001556377","63.6670745164591","44.0202127478758","43.472109350728","46.6348625478118","41.4296501246145","44.3396707946479","41.8701440874277","49.516844470243",
"Dic 2003","55.4298107868381","59.4044609340004","55.1806648071222","45.5354156097112","64.0489874559065","63.2707934535776","67.6114355767555","49.6330493306088","63.9569239040006","44.4301932196798","44.3739651399881","47.9753493671047","42.0593962560523","44.4440080675653","42.0069974535892","49.5576660502597",
